city,town,hospital,address,mapx,mapy
서울특별시,종로구,서울대학교병원,서울특별시 종로구 대학로 101,126.9990167,37.579715
서울특별시,종로구,강북삼성병원,서울특별시 종로구 새문안로 29 강북삼성병원,126.96775,37.5684083
서울특별시,종로구,서울적십자병원,서울특별시 종로구 새문안로 9,126.9669973,37.5671804
서울특별시,종로구,세란병원,서울특별시 종로구 통일로 256 세란병원,126.9574606,37.5751835
서울특별시,중구,국립중앙의료원,서울특별시 중구 을지로 245 국립중앙의료원,127.0056709,37.5672137
서울특별시,용산구,순천향대학교 부속 서울병원,서울특별시 용산구 대사관로 59,127.0042579,37.5338039
서울특별시,성동구,한양대학교병원,서울특별시 성동구 왕십리로 222-1,127.0441339,37.5596569
서울특별시,광진구,건국대학교병원,서울특별시 광진구 능동로 120-1 건국대학교병원,127.0718275,37.5403764
서울특별시,광진구,혜민병원,서울특별시 광진구 자양로 85 혜민병원,127.0836246,37.5354079
서울특별시,동대문구,경희대학교병원,서울특별시 동대문구 경희대로 23,127.051852,37.5941195
서울특별시,동대문구,삼육서울병원,서울특별시 동대문구 망우로 82,127.0653065,37.5879909
서울특별시,동대문구,서울특별시동부병원,서울특별시 동대문구 무학로 124,127.0313409,37.5753681
서울특별시,동대문구,서울성심병원,서울특별시 동대문구 왕산로 259 서울성심병원,127.0497295,37.5843076
서울특별시,중랑구,의료법인풍산의료재단동부제일병원,서울특별시 중랑구 망우로 511 동부제일병원,127.1092125,37.6008487
서울특별시,중랑구,녹색병원,서울특별시 중랑구 사가정로49길 53 원진재단부설녹색병원,127.0859729,37.5835429
서울특별시,중랑구,서울특별시서울의료원,서울특별시 중랑구 신내로 156 서울의료원,127.0978308,37.6132761
서울특별시,도봉구,의료법인한전의료재단 한일병원,서울특별시 도봉구 우이천로 308 한일병원,127.0291227,37.6461401
서울특별시,노원구,한국원자력의학원원자력병원,서울특별시 노원구 노원로 75 원자력병원,127.0824198,37.6288667
서울특별시,노원구,인제대학교상계백병원,서울특별시 노원구 동일로 1342 상계백병원,127.0629908,37.6485408
서울특별시,노원구,노원을지대학교병원,서울특별시 노원구 한글비석로 68,127.0699354,37.6364793
서울특별시,은평구,가톨릭대학교 은평성모병원,서울특별시 은평구 통일로 1021,126.9161912,37.6334944
서울특별시,은평구,의료법인청구성심병원,서울특별시 은평구 통일로 873,126.9197005,37.6208614
서울특별시,서대문구,연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1,126.9408264,37.5623445
서울특별시,서대문구,의료법인동신의료재단동신병원,서울특별시 서대문구 연희로 272,126.936425,37.5813323
서울특별시,양천구,홍익병원,서울특별시 양천구 목동로 225 홍익병원본관,126.8636447,37.5284759
서울특별시,양천구,서울특별시서남병원,서울특별시 양천구 신정이펜1로 20,126.8331531,37.5120195
