city,district,hvec,hvoc,hvgc,hvmriayn,hvventiayn,hvamyn,dutyName,dutyTel3,address,mapx,mapy,hospital_link
서울특별시,종로구,-20,38,638,Y,Y,Y,서울대학교병원,02-2072-2475,서울특별시 종로구 대학로 101,126.9990167,37.579715,http://www.snuh.org/
서울특별시,종로구,2,6,150,Y,Y,Y,강북삼성병원,02-2001-1000,서울특별시 종로구 새문안로 29 강북삼성병원,126.96775,37.5684083,http://www.kbsmc.co.kr/
서울특별시,종로구,10,6,91,Y,Y,Y,서울적십자병원,02-2002-8888,서울특별시 종로구 새문안로 9 서울적십자병원,126.9669973,37.5671804,http://www.rch.or.kr/seoul/
서울특별시,종로구,8,0,39,Y,Y,Y,세란병원,02-737-0181,서울특별시 종로구 통일로 256 세란병원,126.9574606,37.5751835,http://www.seran.co.kr/
서울특별시,중구,9,4,77,Y,Y,Y,국립중앙의료원,02-2260-7414,서울특별시 중구 을지로 245 국립중앙의료원,127.0056709,37.5672137,https://www.instagram.com/nmc_official
서울특별시,용산구,11,4,204,Y,Y,Y,순천향대학교부속서울병원,02-709-9117,서울특별시 용산구 대사관로 59,127.0042579,37.5338039,https://www.youtube.com/@SCHTV
서울특별시,성동구,15,11,332,Y,Y,Y,한양대학교병원,02-2290-8284,서울특별시 성동구 왕십리로 222-1,127.0441339,37.5596569,https://youtube.com/user/HYUnivMedical
서울특별시,광진구,2,9,301,Y,Y,Y,건국대학교병원,02-2030-5555,서울특별시 광진구 능동로 120-1 건국대학교병원,127.0718275,37.5403764,http://www.kuh.ac.kr/
서울특별시,광진구,9,4,14,Y,Y,Y,혜민병원,02-2049-9119,서울특별시 광진구 자양로 85 혜민병원,127.0836246,37.5354079,https://blog.naver.com/ehyemin012
서울특별시,동대문구,11,8,303,Y,Y,Y,경희대학교병원,02-958-8114,서울특별시 동대문구 경희대로 23,127.051852,37.5941195,http://www.khmc.or.kr
서울특별시,동대문구,10,3,33,Y,Y,Y,삼육서울병원,02-2210-3566,서울특별시 동대문구 망우로 82,127.0653065,37.5879909,http://www.symcs.co.kr
서울특별시,동대문구,8,3,53,Y,Y,Y,서울특별시동부병원,02-920-9119,서울특별시 동대문구 무학로 124,127.0313409,37.5753681,http://www.dbhosp.go.kr/
서울특별시,동대문구,1,4,65,Y,Y,Y,서울성심병원,02-966-1616,서울특별시 동대문구 왕산로 259 서울성심병원,127.0497295,37.5843076,http://www.sshosp.co.kr/
서울특별시,중랑구,7,1,50,Y,Y,Y,동부제일병원,02-490-8880,서울특별시 중랑구 망우로 511,127.1090094,37.6007084,http://www.dbjeil.co.kr/
서울특별시,중랑구,4,3,21,Y,Y,Y,녹색병원,02-490-2113,서울특별시 중랑구 사가정로49길 53 원진재단부설녹색병원,127.0859729,37.5835429,http://www.greenhospital.co.kr/
서울특별시,중랑구,6,5,251,Y,Y,Y,서울특별시서울의료원,02-2276-7403,서울특별시 중랑구 신내로 156 서울의료원,127.0978308,37.6132761,https://www.seoulmc.or.kr
서울특별시,성북구,20,8,230,Y,Y,Y,고려대학교의과대학부속병원(안암병원,02-920-5374,서울특별시 성북구 고려대로 73 고려대학교 안암병원,127.0263537,37.5870165,https://www.youtube.com/@ANAMHOSPITAL
서울특별시,도봉구,5,7,72,Y,Y,Y,한일병원,02-901-3119,서울특별시 도봉구 우이천로 308 한일병원,127.0291227,37.6461401,https://www.hanilmed.net/
서울특별시,노원구,7,4,183,Y,Y,Y,한국원자력의학원원자력병원,02-970-2620,서울특별시 노원구 노원로 75 원자력병원,127.0824198,37.6288667,https://youtube.com/@user-ch9pz9pi9w
서울특별시,노원구,8,6,188,Y,Y,Y,인제대학교상계백병원,02-950-1119,서울특별시 노원구 동일로 1342 상계백병원,127.0629908,37.6485408,http://www.paik.ac.kr/sanggye/
서울특별시,노원구,10,6,208,Y,Y,Y,노원을지대학교병원,02-970-8282,서울특별시 노원구 한글비석로 68,127.0699354,37.6364793,https://www.eulji.or.kr/
서울특별시,은평구,-6,8,201,Y,Y,Y,가톨릭대학교 은평성모병원,02-1811-7755,서울특별시 은평구 통일로 1021,126.9161912,37.6334944,Unknown
서울특별시,은평구,2,3,22,Y,Y,Y,청구성심병원,02-383-0129,서울특별시 은평구 통일로 873,126.9197005,37.6208614,https://blog.naver.com/cgss1975
서울특별시,서대문구,6,15,696,Y,Y,Y,연세대학교의과대학세브란스병원,02-2227-7777,서울특별시 서대문구 연세로 50-1,126.9408264,37.5623445,https://sev.severance.healthcare/sev/index.do
서울특별시,서대문구,8,3,62,Y,Y,Y,동신병원,02-396-9161,서울특별시 서대문구 연희로 272,126.936425,37.5813323,http://www.dshospital.co.kr/
서울특별시,양천구,7,2,60,Y,Y,Y,홍익병원,02-2600-0777,서울특별시 양천구 목동로 225 홍익병원본관,126.8636447,37.5284759,http://www.hih.or.kr/
서울특별시,양천구,1,4,25,Y,Y,Y,서울특별시서남병원,02-6300-9129,서울특별시 양천구 신정이펜1로 20,126.8331531,37.5120195,http://www.seoulsnh.or.kr
서울특별시,양천구,17,2,107,Y,Y,Y,이화여자대학교의과대학부속목동병원,02-2650-5911,서울특별시 양천구 안양천로 1071,126.8862044,37.536602,https://mokdong.eumc.ac.kr/
서울특별시,강서구,0,3,79,Y,Y,Y,이화여자대학교의과대학부속서울병원,02-6986-5119,서울특별시 양천구 안양천로 1071,126.8862044,37.536602,https://mokdong.eumc.ac.kr/
서울특별시,강서구,7,3,37,Y,Y,Y,부민병원,02-2620-0119,서울특별시 강서구 공항대로 389 부민병원,126.85095,37.5568917,https://www.youtube.com/channel/UCGvEE_C5SVxXL5qW0_UhZqA
서울특별시,구로구,7,3,27,Y,Y,Y,구로성심병원,02-2067-1515,서울특별시 구로구 경인로 427,126.8663915,37.4996958,https://gurosungsim.co.kr/
서울특별시,구로구,9,8,240,Y,Y,Y,고려대학교의과대학부속구로병원,02-2626-1550,서울특별시 구로구 구로동로 148,126.8848701,37.4920519,http://guro.kumc.or.kr/
서울특별시,금천구,8,2,22,Y,Y,Y,희명병원,02-809-0122,서울특별시 금천구 시흥대로 244,126.9005836,37.4556869,https://www.instagram.com/heemyoung_hospital
서울특별시,영등포구,12,8,235,Y,Y,Y,가톨릭대학교 여의도성모병원,02-3779-1188,서울특별시 영등포구 63로 10 여의도성모병원,126.9367516,37.5183252,http://www.cmcsungmo.or.kr/
서울특별시,영등포구,1,3,36,Y,Y,Y,명지성모병원,02-829-7800,서울특별시 영등포구 도림로 156 명지성모병원,126.8992478,37.4940033,http://www.myongji-sm.co.kr/
서울특별시,영등포구,6,1,17,Y,Y,Y,대림성모병원,02-829-9129,서울특별시 영등포구 시흥대로 657 대림성모병원,126.907359,37.490566,http://www.drh.co.kr/
서울특별시,영등포구,14,9,159,Y,Y,Y,한림대학교강남성심병원,02-829-5119,서울특별시 영등포구 신길로 1 강남성심병원,126.9086527,37.4937261,http://kangnam.hallym.or.kr/
서울특별시,영등포구,7,5,29,Y,Y,Y,성애병원,02-840-7115,서울특별시 영등포구 여의대방로53길 22 성애병원,126.9225002,37.5120273,http://www.sungae.co.kr/
서울특별시,동작구,17,5,309,Y,Y,Y,서울특별시보라매병원,02-870-2119,서울특별시 동작구 보라매로5길 20 서울특별시보라매병원,126.9239058,37.4934413,http://www.brmh.org/
서울특별시,동작구,9,6,302,Y,Y,Y,중앙대학교병원,02-6299-1338,서울특별시 동작구 흑석로 102 중앙대학교병원,126.9607839,37.506748,https://www.youtube.com/@CAUHOSPITAL
서울특별시,관악구,9,3,49,Y,Y,Y,에이치플러스양지병원,070-4665-9119,서울특별시 관악구 남부순환로 1636 에이치플러스 양지병원,126.9325691,37.4841536,https://blog.naver.com/new_yjh
서울특별시,서초구,3,14,405,Y,Y,Y,가톨릭학원가톨릭대학교서울성모병원,02-2258-2370,Unknown,127.0058206,37.5024443,http://kfh.catholic.ac.kr/
서울특별시,강남구,-3,0,254,Y,Y,Y,연세대학교의과대학강남세브란스병원,02-2019-3333,서울특별시 강남구 언주로 211 강남세브란스병원,127.0462683,37.4929296,https://gs.severance.healthcare/gs
서울특별시,강남구,0,26,594,Y,Y,Y,삼성서울병원,02-3410-2060,서울특별시 강남구 일원로 81 삼성의료원,127.0851507,37.4882976,http://www.samsunghospital.com/
서울특별시,송파구,1,6,129,Y,Y,Y,경찰병원,02-3400-1300,서울특별시 송파구 송이로 123 국립경찰병원,127.1235089,37.4963836,http://www.nph.go.kr/
서울특별시,송파구,-1,23,1201,Y,Y,Y,서울아산병원,02-3010-3333,서울특별시 송파구 올림픽로43길 88 서울아산병원,127.1079349,37.5265761,http://www.amc.seoul.kr/
서울특별시,강동구,9,10,206,Y,Y,Y,강동경희대학교의대병원,02-440-7000,서울특별시 강동구 동남로 892,127.1576732,37.553536,https://www.youtube.com/@KHNMC2006
서울특별시,강동구,9,5,192,Y,Y,Y,강동성심병원,02-2224-2358,서울특별시 강동구 성안로 150 강동성심병원,127.1353995,37.535963,http://www.kdh.or.kr
서울특별시,강동구,1,9,339,Y,Y,Y,중앙보훈병원,02-2225-1100,서울특별시 강동구 진황도로61길 53 중앙보훈병원,127.147869,37.5303392,http://seoul.bohun.or.kr/
부산광역시,중구,6,4,70,Y,Y,Y, 메리놀병원,051-461-2300,부산광역시 중구 중구로 121,129.0324148,35.1076837,https://www.youtube.com/channel/UCjlHE9RreNvcjgPaynLujMQ
부산광역시,서구,14,6,158,Y,Y,Y,고신대학교복음병원,051-990-6200,부산광역시 서구 감천로 262 고신대학교복음병원,129.0158968,35.0804374,http://www.kosinmed.or.kr/
부산광역시,서구,9,20,654,Y,Y,Y,부산대학교병원,051-240-7776,부산광역시 서구 구덕로 179,129.0188032,35.1008476,https://www.pnuh.or.kr/
부산광역시,서구,-1,8,226,Y,Y,Y,동아대학교병원,051-240-5300,부산광역시 서구 대신공원로 26,129.017539,35.1201681,http://www.damc.or.kr/
부산광역시,서구,1,1,10,Y,Y,Y,삼육부산병원,051-600-7750,부산광역시 서구 대티로 170,129.0110653,35.1127675,http://www.symcb.co.kr/
부산광역시,동구,4,4,49,Y,Y,Y,좋은문화병원,051-630-0909,부산광역시 동구 범일로 119,129.0590919,35.1408881,http://www.moonhwa.or.kr/
부산광역시,동구,6,6,7,Y,Y,Y, 봉생기념병원,051-664-4119,부산광역시 동구 중앙대로 401,129.0501906,35.1310264,http://www.bsmh.or.kr
부산광역시,영도구,6,0,23,Y,Y,Y, 해동병원,051-410-6688,부산광역시 영도구 태종로 133 해동병원,129.0438999,35.0919051,https://www.hdh.co.kr/
부산광역시,영도구,7,2,34,Y,Y,Y,영도병원,051-419-7575,부산광역시 영도구 태종로 85 영도병원,129.0405428,35.0921491,https://blog.naver.com/withydh77
부산광역시,부산진구,18,6,60,Y,Y,Y, 온종합병원,051-607-0139,부산광역시 부산진구 가야대로 721,129.0499565,35.1578994,http://www.onhospital.org/
부산광역시,부산진구,21,10,261,Y,Y,Y,인제대학교부산백병원,051-890-5995,부산광역시 부산진구 복지로 75,129.0208925,35.1461809,http://www.paik.ac.kr/busan/
부산광역시,부산진구,9,1,40,Y,Y,Y,동의병원,051-850-8777,"부산광역시 부산진구 양정로 62 동의의료원, 동의병원, 동의대학교한방병원",129.076514,35.1698202,http://www.demc.kr/
